ProjectID|ProjectName|ProgramName|StartDate|ProjectedCompletionDate|ActualCompletionDate|TotalProjectUnits|CommercialSquareFootage|BorrowerLegalEntityName|GeneralContractorName|IsDavisBacon|IsSection220NYSLaborLaw|FinalOutcome
44303|Coretta Scott King Apartments|Senior Housing|7/10/2013|4/1/2015||51||CSK HDFC|Cheever Development|Yes||
48444|Ridgewood-Bushwick Harman St HDFC|Article 8A Loan|6/28/2012|6/28/2013||18|||Horizion Construction|||
48783|Willoughby Court Apartments LP|Article 8A Loan|11/13/2012|12/1/2014||267||Willoughby Court Apartments LP|Notias Construction, Inc. |||
49058|Jacquline Denise Davis|LIHTC Year 15|6/5/2013|1/1/2015||68||JDD Court Housing Development Fund Company|Shamas Contracting Co., Inc.|||
48639|Common Ground_1191 Boston Rd|Supportive Housing - New Construction|6/27/2013|12/15/2015||155||Boston Road II Housing Development Fund Corporation|Mountco Construction|Yes||
49575|1016 Washington Avenue|421a Affordable|6/27/2013|6/24/2016||65||1016 Washington Avenue Associates LLC|Joy Construction Corp.|||
48678|Willis Avenue (SEBCO)|LIHTC Year 15|6/25/2013|1/1/2015||32||Willis Avenue Associates Limited Partnership|Shamas Contracting Co., Inc.|||
48676|515 New Life|LIHTC Year 15|6/17/2013|1/1/2015||55||515 New Life Housing Development Fund Corporation|CASTLESTONE CONSTRUCTION CORP|||
47880|Mandela II|LIHTC Year 15|6/25/2012||9/24/2013|42|||Ameri Restoration, Inc.|||
46061|Avalon West Chelsea|Inclusionary Housing|11/7/2011|11/7/2014||690||Avalon West Chelsea, LLC|AVALONBAY NYC DEVELOPMENT, INC.|||
47844|Alexander 140 Street Quadrant|Participation Loan Program|6/27/2012|1/2/2014||24|600||Apartment Rehabilitation Corporation|||
48683|San Francisco Houses, Inc.|LIHTC Year 15|6/25/2013|12/25/2014||70||San Francisco Associates Limited Partnership|Central Development Corp.|||
48886|Renewal Housing Development Fund Company, Inc.|Article 8A Loan|6/14/2013|6/15/2014||132||Renewal Housing Development Fund Company|Shamas Contracting Co., Inc.|||
48809|722 Henry Street|LIHTC Year 15|9/25/2012|4/1/2014||16||722 Henry Street Apartments HDFC|Ghotra and Sons Construction|||
48760|1001 Anderson Ave|Article 8A Loan|6/26/2013|6/30/2014||22||1001 Anderson Avenue HDFC|Total NY Construction Corp|||
47862|1015 SUMMIT AVENUE HDFC|Article 8A Loan|6/27/2013|6/28/2014||37||1015 Summit Ave HDFC|Expo Development Corp.|||
48909|Arker Senior- The Woodlands|Senior Housing|1/29/2013|10/8/2014||101||Givan Rombouts L.P.|Chateau GC LLC|Yes||
44807|161st Street Development (MIP)|Multifamily Rental - Mixed|12/3/2012|9/3/2014||101|9836|Jamaica 161 Realty, LLC|Banta Homes Corp.|||
44249|2311 Tiebout Avenue|Low Income Rental|6/10/2013|12/31/2014||20||Tiebout Green LLC|Galaxy General Contracting|||
45280|899 Westchester Avenue|Low Income Rental|2/21/2013|2/21/2015||141||Westchester Point LLC|Joy Construction Corp.|||
44241|Bushwick East Cluster|Small Homes Scattered Sites|10/24/2012|10/24/2014||30||Shelter Rock Builders, LLC|Shelter Rocker Builders LLC|||
48559|St. Lucy's Apartments|HUD Multi-Family Program|6/28/2012|12/31/2013||100|||Notias Construction, Inc. |||
44366|East Harlem Veterans Initiative -Now Prospero Hall|Supportive Housing - New Construction|5/22/2012|5/22/2012||87|||Bruno Frustaci Contracting Inc|Yes||
45675|Villa Avenue Residence_100 East 204th Street|Supportive Housing - New Construction|6/28/2013|1/15/2015||57||PRI Villa Avenue HDFC|J. Pilla Contracting|Yes||
49481|3361 3rd Avenue|Supportive Housing - New Construction|8/14/2013|10/14/2014||63||3361 Third Avenue HDFC|Strategic Construction Corp|Yes||
48746|277 Pennsylvania Avenue SORP|Small Owner Repair Program|5/15/2013|4/30/2014||16||Earl and Shirley Fullerton|Yossi Stern Construction & Real Estate Management Inc.|||
47652|KING GARDEN APARTMENTS|Supportive Housing - New Construction|9/27/2012|3/27/2014||66||King Garden Apartments, L.P.|DP Group |||
49067|530 E. 159 St.|Article 8A Loan|5/17/2013|5/17/2014||44||530 E. 159 Street Housing Development Fund Corporation|Maximum Mechanical, LLC|||
50602|POP. Caring Communities|Supportive Housing - Rehab|11/21/2013|12/2/2015||236||Caring Supported Housing LLC|MDG Design & Construction|||
50414|Daly IV HDFC|Extended Affordability Housing Supervision|12/16/2013||12/16/2013|274|4351|DALY IV HDFC|CDC Construction Corporation of New York|||
49931|117 Hancock Street|REO|12/21/2012|12/20/2013||2||Restored Homes HDFC||||
44812|Prospect Court|Low Income Rental|6/29/2011||8/2/2013|59|11688|Prospect Court LLC|Great American Construction|||
49248|N/A|Low Income Rental|12/30/2013|5/30/2014||39||N/A|Creative Interiors Plus (CIP)|||
47967|1195 -1199 Fulton Avenue|Article 8A Loan|12/28/2012|12/30/2013||40|||Shamas Contracting Co., Inc.|||
77|Metro North Gardens|Section 8|8/10/2011|||48||||||
84|Penn South|Mitchell-Lama|6/24/2011|||2820||||||
86|Sam Burt Houses|Mitchell-Lama|1/11/2013|||147||Sam Burt Houses, Inc.||||
89|St. Lukes Housing for the Elderly|LAMP|12/1/2011|||81||St. Luke's Williamsbridge Associates, L.P.||||
61|St. Marks Rehab|Section 8|3/27/2012|||21||738 ST. MARKS EQUITIES, LLC|Mar Construction Corp.|||
91|Tivoli Towers|Mitchell-Lama|10/28/2010|||320||||||
94|Warbasse Houses|Mitchell-Lama|6/29/2012|||2585||||||
76|Kent Village|Mitchell-Lama|6/10/2011|||534||||||
78|Mins Plaza|Mitchell-Lama|3/13/2012|||84||||||
43129|EAST HARLEM SOUTH COOPERATIVE II|Multifamily Homeownership|6/30/2010|||6||East 111 Mezzanine LLC|L+M Builders Group LLC|||
43187|ABRAHAM RESIDENCE II|LIHTC Year 15|6/24/2010|||41||SURF GATE HOUSING DEVELOPMENT FUND CORPORATION||||
43214|THIRD WHGA|LIHTC Year 15|6/23/2010|||101||WHGA, Inc.|AP Tek Construction|||
43791|N/A|HHAP|8/2/2010|||41||N/A||||
44894|330 WEST 39TH STREET|Inclusionary Housing|11/30/2010|||42||West 39th Street LLC|West 39th Street Development LLC|||
125|Longwood Residences (SEBCO I and II)|LAMP|6/27/2013|||361|9218|Longwood Residences, LP|Renewal Consruction Services, LLC|||
124|456 Washington Street|80/20|6/20/2013|||107|5691|Bridge Land West LLC|Monadnock Construction, Inc.|||
130|Harlem West IV|Extended Affordability|6/14/2013|||93||Urban Home Ownership Corp|Apex Building Company|||
131|Harlem West III|Extended Affordability|6/14/2013|||70||Urban Home Ownership Corp|Apex Building Company|||
126|Carmel Apartments|LAMP|6/20/2013|||100||Carmel Apartments LLC|FG-PH Corp.|||
127|TBM Housing - Scheuer Plaza|LAMP|6/18/2013|||100||Scheuer Plaza L.P.|Notias Construction|||
48877|Nehemiah Gateway Phase 3B|Small Homes Large Scale|12/30/2013|2/26/2016||81||Nehemiah Housing Development Fund Company, Inc.|Monadnock Construction|||
48518|186-07 MANGIN AVENUE|REO|10/31/2011|1/4/2013||1||RUN LLC|Horizion Construction|||
48530|794 BARTHOLDI STREET|REO|12/6/2011|1/14/2013||1||Restored Homes HDFC|Poko Builders LLC|||
44998|LESC Franklin Ave|Supportive Housing - New Construction|5/16/2012|11/16/2014||99||LESC Franklin Avenue HDFC|J. Pilla Group Ltd.|Yes||
45676|1344 Clinton Avenue|Supportive Housing - New Construction|6/25/2012|12/31/2013||80||Urban Pathways, Inc.|L. Riso & Sons|Yes||
48356|Women's Housing & Economic Development Corp.|Article 8A Loan|6/22/2012|7/1/2013||132||Urban Horizon Tax Credit Fund L.P.||||
48287|Quadrant Properties HDFC - III|Article 8A Loan|6/12/2012|7/1/2014||231||South Bronx Community Lemie Wolfe LLC|Apartment Rehab Corp.|Yes||
45998|MHANY Hopkinson Sumpter|NSP 2|6/29/2012|12/31/2013||26||MHANY 1999 HDFC||||
47769|370 Hooper St, Brooklyn|Article 8A Loan|10/26/2012|10/1/2013||6||370 Hooper St Housing Development Fund Corp||||
47825|Louise Chazin Apartments|LIHTC Year 15|6/28/2012|1/1/2014||45|||Expo Development Corp.|||
44255|Artspace El Barrio @ P.S. 109|Low Income Rental|6/20/2012|6/20/2014||90|9210|El Barrio Artspace Limited Partnership|Monadnock Construction, Inc.|||
45781|West 116/117|Low Income Rental|8/2/2012|8/2/2014||111|5000|West 116 Residential LLC|Chatsworth Builders LLC|||
45001|Praxis White Plains Road|Supportive Housing - New Construction|6/26/2012|12/31/2013||61|||Fazio Contracting|Yes||
45317|Belmont Commons (SOBRO E. 188th St)|Low Income Rental|1/11/2012|8/21/2013||40|||Delight Construction|||
49940|139-07 89th Avenue|REO|11/29/2012|11/22/2013||2||Restored Homes HDFC|Horizon Construction|||
45820|710 EAST 9TH STREET|Supportive Housing - Rehab|6/21/2011|||45||710 East 9th Street Associates, L.P.|C&A GENERAL CONTRACTING CORP.|Yes||
48899|Mutual Redevelopment Houses, Inc. - Penn South|Article 8A Loan|9/23/2013|9/23/2015||2820||Mutual Redevelopment Houses, Inc.|Empire Control Abatement Inc.|||
43190|HILLS ASSOCIATES|LIHTC Year 15|6/15/2010|||27||Hills Associates, LP|Builders-R-US|||
128|Beth Abraham Housing - Scheuer Gardens|LAMP|6/18/2013|||116||Scheuer Gardens L.P.|Notias Construction|||
132|Boston Road Apartments|Extended Affordability|6/14/2013|||142|12000|Urban Home Ownership Corp|Apex Building Company|||
133|Terrace Gardens|Extended Affordability|6/28/2013|||198||Terrace Gardens Housing Limited Partnership|Chateau GC LLC|||
39397|2520-40-60 Batchelder/Kingsbay I|Article 8A Loan|6/30/2009|||540||||||
48002|Stammtisch|Multifamily Preservation Loan Program|12/20/2013|12/31/2015||46|3036|Stammtisch Associates, L.P.|GKC Industries, Inc.|||
44454|920 Westchester Avenue|Low Income Rental|6/29/2010|6/28/2012||110|10726|922 Westchester Owners LLC|MJM Construction Services, LLC|||
45888|2665 Valentine Ave|Article 8A Loan|6/24/2011|||40||2665 Valentine Inc.|R & S Construction Corp.|||
45907|ST. JOHN'S & ROCHESTER APARTMENTS|LIHTC Year 15|6/29/2011|||82||St. John's Housing Development Fund Corp.||||
48513|74-34 ROCKAWAY BLVD|REO|8/23/2011|11/30/2012||2||Restored Homes HDFC|Empire Home Developers, Inc.|||
47960|TBX905 - Fordham Bedford|TPT|6/27/2013|4/1/2015||125||Creston Heights LLC|Galaxy General Contracting|||
45915|FALCON RESTORATION II|LIHTC Year 15|6/22/2011||7/30/2013|41||La Casa Nuestra Housing Development Fund Corporation|ALMO GROUP CORP.|||
48132|The Heights - 150th Street|Multifamily Preservation Loan Program|12/19/2013|6/19/2016||67|811|Cloth150th Street LP|US Tech Construction Corp|||
48579|Alphabet Plaza|Inclusionary Housing|6/13/2013|6/13/2016||135|10000|Alphabet Plaza LLC|Alphabet Plaza LLC|||
48794|Quadrant Properties HDFC V|Article 8A Loan|6/10/2013|7/1/2015||106||Quadrant Properties Housing Development Fund Company|Apartment Rehabilitation Corporation|Yes||
59|11 Broadway|New HOP|8/25/2010|||160|340065|11 Broadway Affordable Residential LLC|Congress Builders LLC|||
60|55 Pierrepont Street|LAMP|12/1/2011|||189||55 Pierrepont LLC|MDG Design & Construction/Adelphi Restoration Corp. |||
62|Atlantic Yards|New HOP|12/14/2012|||363|3733|Atlantic Yards B2 Owner, LLC|Skanska USA Building Inc.|||
64|CABS Housing|LAMP|12/1/2011|||72||St. Nicks Alliance||||
65|Cannon Heights|Mitchell-Lama|10/14/2010|||171||||||
68|Dayton Tower|Mitchell-Lama|6/23/2011|||1758||||||
74|Greene Avenue Senior Citizens|LAMP|12/1/2011|||150||Greene Ave Rehabilitation 2012 Bsrc, L.P||||
48644|CUCS. 600 East 181st Street. Arthur Ave.|Supportive Housing - New Construction|12/19/2013|8/31/2015||108||Arthur Avenue Residence, L.P.|Mega Contracting, Inc.|Yes||
48012|Soundview Senior|Low Income Rental|12/19/2013|11/19/2014||86||Soundview Senior Housing LLC|Procida Construction|Yes||
50156|Compass Residences 1A|Multifamily Rental - Mixed|12/23/2013|12/30/2015||110|1758|Compass One A LLC|Monadnock Construction|||
49338|Compass Residences 1B|Low Income Rental|12/23/2013|12/23/2015||127|3174|Compass One B LLC|Monadnock Construction|||
50407|East New York Resyndication (BRP)|LIHTC Year 15|12/27/2013|1/1/2016||468||ENY Development LLC|BRP Construction Group LLC|||
44405|BAM Cultural District North Site- Tower I|Multifamily Rental - Mixed|12/20/2013|10/31/2016||586||BAM Go Developers LLC.|Gotham Construction|||
50205|Bronx Pro Gazivoda Phase 1|Participation Loan Program|12/23/2013|12/23/2015||269||G&M Realty l LLC|Home Builders 1, L.P.|||
49173|West End. 2808 Jerome Ave. True Colors 2|Supportive Housing - New Construction|12/30/2013|6/30/2015||31||True Colors Bronx HDFC|DP Group |Yes||
50181|205 East 92nd Street|Inclusionary Housing|12/23/2013|12/23/2016||231|33935|92nd and 3rd Associates, L.L.C.|Monadnock Construction|||
50329|424 West 55h Street|Inclusionary Housing|12/30/2013|12/26/2016||17||West of Ninth Limited Partnership|Chateau GC LLC|||
49690|160 Madison Avenue|Inclusionary Housing|12/5/2013|12/5/2016||319|28200|160 Madison Avenue LLC|M.D. Carlisle Construction Corp.|||
49706|149 Kent Avenue|Inclusionary Housing|12/20/2013|12/20/2016||164|18358|Kent & Wythe Owners LLLC|CONGRESS BUILDERS LLC|||
45265|Randolph Houses South / Phase one|Low Income Rental|12/23/2013|12/23/2016||168||Trinity West Harlem Phase One HDFC|Mega Contracting, Inc.|Yes||
49171|Albert Goodman|HUD Multi-Family Program|12/19/2013|12/19/2014||252||Albert Goodman Housing Development Fund Corporation |Albert Goodman Preservation Builders LLC|||
48533|KELLY STREET|Overleveraged|12/28/2011||12/18/2012|81|2845||Monadnock Construction|||
134|Locust Manor Family|Stand Alone Tax Credits|7/31/2013|||54||Locust Manor Family Limited Partnership|D & F Construction Group, Inc.|||
135|Prince Hall|LAMP|12/19/2013|||98||PH Housing L.P.; PH Housing Development Fund Corporation (nominee)|Arco Management Corp (construction supervisor)|||
136|Webster E|LAMP|12/19/2013|||79||Webster Building E Realty LLC|Joy Construction |||
