ProjectID|BuildingID|AffordabilityBand|TotalUnits
44454|921857|Other|1
45888|117113|Low Income|40
45907|367914|Low Income|8
45907|373671|Low Income|8
45907|373670|Low Income|8
45907|362400|Low Income|6
45907|373666|Low Income|8
45907|362398|Low Income|6
45907|373664|Low Income|8
45907|362386|Low Income|16
45907|809288|Low Income|6
45907|373669|Low Income|8
48513|933758|Moderate Income|2
47960|81557|Low Income|43
47960|81557|Other|1
47960|51236|Low Income|35
47960|51236|Other|1
47960|59221|Low Income|29
47960|59221|Other|1
47960|114432|Low Income|15
45915|19623|Low Income|10
45915|20602|Low Income|12
45915|19763|Low Income|9
45915|19602|Low Income|10
48132|5653|Low Income|9
48132|28239|Low Income|42
48132|21283|Low Income|16
48579|940495|Low Income|30
48579|940495|Not Applicable|105
48794|62836|Low Income|9
48794|62836|Other|1
48794|62837|Low Income|23
48794|62837|Other|1
48794|63883|Low Income|12
48794|63883|Other|1
48794|902977|Low Income|14
48794|902977|Other|1
48794|806338|Low Income|15
48794|52677|Low Income|14
48794|806337|Low Income|15
59|942001|Low Income|40
59|942001|Middle Income|119
59|942001|Other|1
60|353351|Low Income|189
62|231329|Low Income|73
62|231329|Middle Income|72
62|231329|Moderate Income|36
62|231329|Other|182
64|357481|Low Income|72
65|79476|Low Income|94
65|79476|Middle Income|33
65|79476|Moderate Income|38
65|79476|Other|6
68|691523|Low Income|1758
74|808459|Low Income|150
48644|948176|Low Income|107
48644|948176|Other|1
48012|939257|Low Income|85
48012|939257|Other|1
50156|948201|Low Income|67
50156|948201|Moderate Income|42
50156|948201|Other|1
49338|944796|Low Income|127
50407|395827|Low Income|13
50407|395829|Low Income|13
50407|395830|Low Income|13
50407|395833|Low Income|13
50407|395834|Low Income|8
50407|395836|Low Income|16
50407|395840|Low Income|16
50407|395843|Low Income|16
50407|395844|Low Income|16
50407|809283|Low Income|16
50407|313104|Low Income|4
50407|395849|Low Income|6
50407|395877|Low Income|9
50407|395846|Low Income|8
50407|809877|Low Income|2
50407|362337|Low Income|3
50407|949647|Low Income|3
50407|362339|Low Income|3
50407|183060|Low Income|6
50407|807552|Low Income|6
50407|807553|Low Income|6
50407|353145|Low Income|19
50407|234974|Low Income|19
50407|342753|Low Income|3
50407|808939|Low Income|6
50407|808942|Low Income|7
50407|362334|Low Income|12
50407|354251|Low Income|6
50407|940975|Low Income|6
50407|342748|Low Income|3
50407|342738|Low Income|3
50407|342739|Low Income|3
50407|342742|Low Income|3
50407|342744|Low Income|3
50407|342745|Low Income|10
50407|300002|Low Income|3
50407|342757|Low Income|3
50407|299970|Low Income|2
50407|299963|Low Income|2
50407|353190|Low Income|15
50407|289096|Low Income|16
50407|913572|Low Income|24
50407|342523|Low Income|4
50407|342526|Low Income|6
50407|342533|Low Income|3
50407|342542|Low Income|4
50407|362352|Low Income|3
50407|362349|Low Income|3
50407|328562|Low Income|6
50407|207683|Low Income|23
50407|207686|Low Income|16
50407|379928|Low Income|22
50407|354170|Low Income|3
50407|940976|Low Income|1
50407|354165|Low Income|10
44405|926971|Low Income|118
44405|926971|Middle Income|164
44405|926971|Other|304
50205|97967|Low Income|58
50205|97967|Moderate Income|1
50205|65477|Low Income|48
50205|65477|Other|1
50205|65478|Low Income|56
50205|65478|Moderate Income|2
50205|65478|Other|1
50205|111969|Low Income|56
50205|111969|Moderate Income|2
50205|111969|Other|1
50205|116780|Low Income|41
50205|116780|Moderate Income|1
50205|116780|Other|1
49173|946227|Low Income|30
49173|946227|Other|1
50181|948130|Low Income|47
50181|948130|Not Applicable|184
50329|948333|Low Income|17
49690|949890|Low Income|64
49690|949890|Not Applicable|255
49706|948157|Low Income|33
49706|948157|Not Applicable|131
45265|38124|Low Income|70
45265|38135|Low Income|97
45265|38135|Other|1
49171|806372|Low Income|64
49171|806307|Low Income|62
49171|806307|Other|1
49171|64618|Low Income|62
49171|113704|Low Income|62
49171|113704|Other|1
48533|89497|Low Income|16
48533|89497|Other|1
48533|89499|Low Income|16
48533|89500|Low Income|8
48533|89500|Other|
48533|89501|Low Income|8
48533|89501|Other|
48533|89503|Low Income|31
48533|89503|Other|1
134|952514|Low Income|53
134|952514|Other|1
135|42693|Low Income|97
135|42693|Moderate Income|1
136|120780|Low Income|79
